date	day	month	year	TMDH 
2000-10-31	31	10	2000	341
2000-12-31	31	12	2000	610
2001-01-31	31	1	2001	279
2001-02-28	28	2	2001	224
2001-03-31	31	3	2001	279
2001-04-30	30	4	2001	300
2001-05-31	31	5	2001	341
2001-06-30	30	6	2001	360
2001-07-31	31	7	2001	387.5
2001-08-31	31	8	2001	403
2001-09-30	30	9	2001	360
2001-10-31	31	10	2001	341
2001-11-30	30	11	2001	300
2001-12-31	31	12	2001	279
2002-01-31	31	1	2002	279
2002-02-28	28	2	2002	224
2002-03-31	31	3	2002	279
2002-04-30	30	4	2002	300
2002-05-31	31	5	2002	341
2002-06-30	30	6	2002	360
2002-07-31	31	7	2002	387.5
2002-08-31	31	8	2002	403
2002-09-30	30	9	2002	360
2002-10-31	31	10	2002	341
2002-11-30	30	11	2002	300
2002-12-31	31	12	2002	279
2003-01-31	31	1	2003	279
2003-02-28	28	2	2003	224
2003-03-31	31	3	2003	279
2003-04-30	30	4	2003	300
2003-05-31	31	5	2003	341
2003-06-30	30	6	2003	360
2003-07-31	31	7	2003	387.5
2003-08-31	31	8	2003	403
2003-09-30	30	9	2003	360
2003-10-31	31	10	2003	341
2003-11-30	30	11	2003	300
2003-12-31	31	12	2003	279
2004-01-31	31	1	2004	279
2004-02-28	28	2	2004	224
2004-03-30	30	3	2004	279
2004-04-29	29	4	2004	300
2004-05-30	30	5	2004	341
2004-06-29	29	6	2004	360
2004-07-30	30	7	2004	387.5
2004-08-30	30	8	2004	403
2004-09-29	29	9	2004	360
2004-10-30	30	10	2004	341
2004-11-29	29	11	2004	300
2004-12-31	31	12	2004	288
2005-01-31	31	1	2005	279
2005-02-28	28	2	2005	224
2005-03-31	31	3	2005	279
2005-04-30	30	4	2005	300
2005-05-31	31	5	2005	341
2005-06-30	30	6	2005	360
2005-07-31	31	7	2005	387.5
2005-08-31	31	8	2005	403
2005-09-30	30	9	2005	360
2005-10-31	31	10	2005	341
2005-11-30	30	11	2005	300
2005-12-31	31	12	2005	279
2006-01-31	31	1	2006	279
2006-02-28	28	2	2006	224
2006-03-31	31	3	2006	279
2006-04-30	30	4	2006	300
2006-05-31	31	5	2006	341
2006-06-30	30	6	2006	360
2006-07-31	31	7	2006	387.5
2006-08-31	31	8	2006	403
2006-09-30	30	9	2006	360
2006-10-31	31	10	2006	341
2006-11-30	30	11	2006	300
2006-12-31	31	12	2006	279
2007-01-31	31	1	2007	279
2007-02-28	28	2	2007	224
2007-03-31	31	3	2007	279
2007-04-30	30	4	2007	300
2007-05-31	31	5	2007	341
2007-06-30	30	6	2007	360
2007-07-31	31	7	2007	387.5
2007-08-31	31	8	2007	403
2007-09-30	30	9	2007	360
2007-10-31	31	10	2007	341
2007-11-30	30	11	2007	300
2007-12-31	31	12	2007	279
2008-01-31	31	1	2008	261
2008-02-29	29	2	2008	232
2008-03-31	31	3	2008	279
2008-04-30	30	4	2008	301
2008-05-31	31	5	2008	341
2008-06-30	30	6	2008	360
2008-07-31	31	7	2008	387.5
2008-08-31	31	8	2008	403
2008-09-30	30	9	2008	360
2008-10-31	31	10	2008	341
2008-11-30	30	11	2008	300
2008-12-29	29	12	2008	261
2009-01-31	31	1	2009	279
2009-02-28	28	2	2009	224
2009-03-31	31	3	2009	279
2009-04-30	30	4	2009	300
2009-05-31	31	5	2009	341
2009-06-30	30	6	2009	360
2009-07-31	31	7	2009	387.5
2009-08-31	31	8	2009	403
2009-09-30	30	9	2009	360
